X Y Salida
0 0 0.318748197683
0.2 0 0.319025914904
0.4 0 0.319303886059
0.6 0 0.319582105975
0.8 0 0.319860569453
1.0 0 0.320139271263
1.2 0 0.320418206151
1.4 0 0.320697368834
1.6 0 0.320976754006
1.8 0 0.321256356338
2.0 0 0.321536170475
2.2 0 0.321816191046
2.4 0 0.322096412658
2.6 0 0.322376829897
2.8 0 0.322657437336
3.0 0 0.322938229528
3.2 0 0.323219201013
3.4 0 0.323500346319
3.6 0 0.323781659957
3.8 0 0.324063136432
4.0 0 0.324344770237
4.2 0 0.324626555856
4.4 0 0.324908487766
4.6 0 0.32519056044
4.8 0 0.325472768344
5.0 0 0.325755105942
5.2 0 0.326037567696
5.4 0 0.326320148066
5.6 0 0.326602841515
5.8 0 0.326885642506
6.0 0 0.327168545506
6.2 0 0.327451544986
6.4 0 0.327734635422
6.6 0 0.328017811299
6.8 0 0.328301067109
7.0 0 0.328584397353
7.2 0 0.328867796543
7.4 0 0.329151259205
7.6 0 0.329434779875
7.8 0 0.329718353106
8.0 0 0.330001973466
8.2 0 0.33028563554
8.4 0 0.330569333929
8.6 0 0.330853063256
8.8 0 0.331136818164
9.0 0 0.331420593317
9.2 0 0.331704383401
9.4 0 0.331988183127
9.6 0 0.33227198723
9.8 0 0.332555790473
10.0 0 0.332839587643
10.2 0 0.333123373558
10.4 0 0.333407143063
10.6 0 0.333690891036
10.8 0 0.333974612384
11.0 0 0.334258302047
11.2 0 0.334541954998
11.4 0 0.334825566244
11.6 0 0.335109130827
11.8 0 0.335392643827
12.0 0 0.335676100359
12.2 0 0.335959495575
12.4 0 0.336242824668
12.6 0 0.336526082869
12.8 0 0.336809265449
13.0 0 0.337092367722
13.2 0 0.33737538504
13.4 0 0.337658312803
13.6 0 0.337941146449
13.8 0 0.338223881463
14.0 0 0.338506513374
14.2 0 0.338789037756
14.4 0 0.339071450229
14.6 0 0.339353746459
14.8 0 0.339635922161
15.0 0 0.339917973095
15.2 0 0.340199895071
15.4 0 0.340481683947
15.6 0 0.34076333563
15.8 0 0.341044846078
16.0 0 0.341326211297
16.2 0 0.341607427344
16.4 0 0.341888490328
16.6 0 0.342169396408
16.8 0 0.342450141795
17.0 0 0.342730722752
17.2 0 0.343011135594
17.4 0 0.343291376688
17.6 0 0.343571442455
17.8 0 0.343851329367
18.0 0 0.34413103395
18.2 0 0.344410552784
18.4 0 0.344689882501
18.6 0 0.344969019788
18.8 0 0.345247961385
19.0 0 0.345526704084
19.2 0 0.345805244735
19.4 0 0.346083580237
19.6 0 0.346361707548
19.8 0 0.346639623674
20.0 0 0.346917325681
0 0.2 0.318835142069
0.2 0.2 0.319112959255
0.4 0.2 0.319391029597
0.6 0.2 0.319669347922
0.8 0.2 0.319947909027
1.0 0.2 0.320226707681
1.2 0.2 0.320505738625
1.4 0.2 0.320784996576
1.6 0.2 0.321064476224
1.8 0.2 0.321344172236
2.0 0.2 0.321624079258
2.2 0.2 0.321904191914
2.4 0.2 0.322184504808
2.6 0.2 0.322465012524
2.8 0.2 0.322745709632
3.0 0.2 0.323026590682
3.2 0.2 0.323307650212
3.4 0.2 0.323588882744
3.6 0.2 0.323870282791
3.8 0.2 0.324151844851
4.0 0.2 0.324433563414
4.2 0.2 0.324715432963
4.4 0.2 0.324997447972
4.6 0.2 0.325279602908
4.8 0.2 0.325561892236
5.0 0.2 0.325844310417
5.2 0.2 0.326126851909
5.4 0.2 0.326409511169
5.6 0.2 0.326692282656
5.8 0.2 0.326975160829
6.0 0.2 0.327258140154
6.2 0.2 0.327541215096
6.4 0.2 0.327824380129
6.6 0.2 0.328107629734
6.8 0.2 0.328390958399
7.0 0.2 0.328674360622
7.2 0.2 0.328957830913
7.4 0.2 0.329241363791
7.6 0.2 0.32952495379
7.8 0.2 0.32980859546
8.0 0.2 0.330092283364
8.2 0.2 0.330376012084
8.4 0.2 0.330659776217
8.6 0.2 0.330943570383
8.8 0.2 0.33122738922
9.0 0.2 0.331511227387
9.2 0.2 0.331795079569
9.4 0.2 0.332078940472
9.6 0.2 0.332362804827
9.8 0.2 0.332646667392
10.0 0.2 0.332930522952
10.2 0.2 0.33321436632
10.4 0.2 0.333498192337
10.6 0.2 0.333781995877
10.8 0.2 0.334065771843
11.0 0.2 0.334349515171
11.2 0.2 0.33463322083
11.4 0.2 0.334916883823
11.6 0.2 0.335200499189
11.8 0.2 0.335484062002
12.0 0.2 0.335767567373
12.2 0.2 0.336051010453
12.4 0.2 0.336334386427
12.6 0.2 0.336617690524
12.8 0.2 0.336900918012
13.0 0.2 0.337184064198
13.2 0.2 0.337467124433
13.4 0.2 0.33775009411
13.6 0.2 0.338032968665
13.8 0.2 0.338315743578
14.0 0.2 0.338598414375
14.2 0.2 0.338880976625
14.4 0.2 0.339163425944
14.6 0.2 0.339445757996
14.8 0.2 0.339727968488
15.0 0.2 0.34001005318
15.2 0.2 0.340292007875
15.4 0.2 0.34057382843
15.6 0.2 0.340855510745
15.8 0.2 0.341137050776
16.0 0.2 0.341418444524
16.2 0.2 0.341699688044
16.4 0.2 0.341980777439
16.6 0.2 0.342261708865
16.8 0.2 0.34254247853
17.0 0.2 0.342823082692
17.2 0.2 0.343103517663
17.4 0.2 0.343383779806
17.6 0.2 0.343663865537
17.8 0.2 0.343943771326
18.0 0.2 0.344223493696
18.2 0.2 0.344503029221
18.4 0.2 0.344782374532
18.6 0.2 0.34506152631
18.8 0.2 0.345340481293
19.0 0.2 0.34561923627
19.2 0.2 0.345897788086
19.4 0.2 0.346176133638
