Neuronas Error-Total Error-Promedio Tiempo
2 429.898144535 0.214949072 0.264999866486
3 443.605766906 0.221802883 0.359000205994
4 450.779707084 0.225389854 0.46799993515
5 448.312784424 0.224156392 0.514999866486
6 451.53280863 0.225766404 0.608000040054
7 458.820495388 0.229410248 0.671000003815
8 463.906358961 0.231953179 0.749000072479
9 458.374745778 0.229187373 0.826999902725
10 468.879665135 0.234439833 0.904000043869
