#Neuronas ErrorTotal Tiempo
2 443.687150447 0.026349067688
3 451.397902287 0.0336439609528
4 458.048448724 0.0417618751526
5 457.555777079 0.050304889679
6 462.58188716 0.058434009552
7 461.932421912 0.0652260780334
8 470.075276926 0.0728321075439
9 471.463249683 0.0801451206207
10 475.055309745 0.0859701633453
