#Neuronas ErrorTotal Tiempo
2 118.664953472 0.0142338275909
3 118.706604271 0.0188748836517
4 118.735967985 0.0222370624542
5 118.694878178 0.0261309146881
6 118.837091712 0.0306749343872
7 118.912049034 0.0349640846252
8 118.806207499 0.0392611026764
9 118.873629819 0.0428318977356
10 118.795068524 0.0474410057068
