X Y Salida
0 0 0.86077624335
0.2 0 0.86586285289
0.4 0 0.870632228936
0.6 0 0.875076834024
0.8 0 0.879195457873
1.0 0 0.882992346368
1.2 0 0.886476248172
1.4 0 0.889659452298
1.6 0 0.89255687334
1.8 0 0.895185223383
2.0 0 0.8975622932
2.2 0 0.899706351842
2.4 0 0.901635663396
2.6 0 0.903368112807
2.8 0 0.904920928538
3.0 0 0.906310487955
3.2 0 0.907552191139
3.4 0 0.908660389555
3.6 0 0.909648357481
3.8 0 0.910528295739
4.0 0 0.911311358991
4.2 0 0.912007699537
4.4 0 0.912626521954
4.6 0 0.913176144217
4.8 0 0.913664061987
5.0 0 0.914097013593
5.2 0 0.914481043948
5.4 0 0.914821566163
5.6 0 0.915123420036
5.8 0 0.915390926944
6.0 0 0.915627940845
6.2 0 0.915837895337
6.4 0 0.916023846786
6.6 0 0.916188513659
6.8 0 0.916334312244
7.0 0 0.916463388965
7.2 0 0.916577649533
7.4 0 0.916678785167
7.6 0 0.916768296142
7.8 0 0.916847512876
8.0 0 0.916917614798
8.2 0 0.916979647204
8.4 0 0.917034536286
8.6 0 0.917083102537
8.8 0 0.917126072675
9.0 0 0.917164090258
9.2 0 0.91719772512
9.4 0 0.917227481752
9.6 0 0.917253806745
9.8 0 0.917277095397
10.0 0 0.917297697576
10.2 0 0.917315922915
10.4 0 0.917332045424
10.6 0 0.917346307571
10.8 0 0.917358923903
11.0 0 0.917370084255
11.2 0 0.917379956586
11.4 0 0.917388689498
11.6 0 0.91739641446
11.8 0 0.917403247783
12.0 0 0.917409292362
12.2 0 0.917414639227
12.4 0 0.917419368903
12.6 0 0.917423552627
12.8 0 0.917427253415
13.0 0 0.917430527011
13.2 0 0.917433422727
13.4 0 0.917435984181
13.6 0 0.917438249961
13.8 0 0.917440254197
14.0 0 0.917442027081
14.2 0 0.91744359532
14.4 0 0.917444982538
14.6 0 0.917446209632
14.8 0 0.917447295087
15.0 0 0.917448255252
15.2 0 0.91744910459
15.4 0 0.917449855896
15.6 0 0.917450520485
15.8 0 0.917451108368
16.0 0 0.917451628399
16.2 0 0.917452088409
16.4 0 0.917452495329
16.6 0 0.917452855284
16.8 0 0.917453173697
17.0 0 0.917453455363
17.2 0 0.917453704523
17.4 0 0.917453924928
17.6 0 0.917454119898
17.8 0 0.917454292369
18.0 0 0.917454444936
18.2 0 0.917454579898
18.4 0 0.917454699286
18.6 0 0.917454804898
18.8 0 0.917454898323
19.0 0 0.917454980968
19.2 0 0.917455054077
19.4 0 0.91745511875
19.6 0 0.917455175961
19.8 0 0.917455226571
20.0 0 0.917455271342
0 0.2 0.857909109883
0.2 0.2 0.863158984424
0.4 0.2 0.868099231255
0.6 0.2 0.872718522313
0.8 0.2 0.877012246784
1.0 0.2 0.880981728348
1.2 0.2 0.884633313629
1.4 0.2 0.887977412166
1.6 0.2 0.891027553803
1.8 0.2 0.893799512149
2.0 0.2 0.896310525583
2.2 0.2 0.898578632157
2.4 0.2 0.900622122676
2.6 0.2 0.902459107476
2.8 0.2 0.90410718684
3.0 0.2 0.905583211875
3.2 0.2 0.906903121626
3.4 0.2 0.908081842404
3.6 0.2 0.909133236438
3.8 0.2 0.910070088461
4.0 0.2 0.910904120574
4.2 0.2 0.911646027409
4.4 0.2 0.912305525161
4.6 0.2 0.912891409434
4.8 0.2 0.913411618024
5.0 0.2 0.913873295697
