#Neuronas ErrorTotal Tiempo
2 206.737115234 0.0133008956909
3 218.935975861 0.01673412323
4 209.203458502 0.0203750133514
5 217.989154569 0.0239479541779
6 225.595064858 0.0280129909515
7 222.943886679 0.032586812973
8 228.909848027 0.0364401340485
9 229.024073927 0.0401887893677
10 224.40062076 0.0456008911133
