#Neuronas ErrorTotal Tiempo
2 241.335235059 0.02756690979
3 240.624401909 0.0349600315094
4 242.484748519 0.043007850647
5 242.641888558 0.0521230697632
6 244.899198136 0.0604240894318
7 243.018168715 0.0675630569458
8 244.520976818 0.0747921466827
9 246.32884836 0.0816519260406
10 244.779491931 0.0886240005493
