#Neuronas ErrorTotal Tiempo
2 60.0192861133 0.00646996498108
3 60.3879978005 0.0085871219635
4 60.1911247262 0.0102031230927
5 60.1066397054 0.0127079486847
6 60.056561862 0.0141191482544
7 60.1708253549 0.0157520771027
8 60.0739355283 0.0176658630371
9 60.3053966791 0.0203440189362
10 60.8131684012 0.0216481685638
