#Neuronas ErrorTotal Tiempo
2 102.331468417 0.00649905204773
3 97.0562371753 0.00843906402588
4 107.786644025 0.010185956955
5 106.377862052 0.0131020545959
6 109.350157939 0.0140268802643
7 108.058348788 0.0164241790771
8 112.606769249 0.0174880027771
9 110.517313162 0.0200369358063
10 114.438496757 0.0214309692383
